FirstName,LastName,Team,Position,ADP,Year,TeamPosRank,PosRank1_ADP,PosRank2_ADP,PosAmbiguity,Age,GamesPlayed,PointsPPR,PointsHalfPPR,PPG_PPR,PPG_HalfPPR,RushAtt,RushYds,RushYardsPerAtt,RushTD,Tgts,TgtsPerGame,Receptions,RecYds,YardsPerRec,RecTD
Zach,Miller,SEA,TE,172.08,2013,TE1,172.08,,False,28,14,101.7,85.2,7.26,6.09,0,0,,0,56.0,4.0,33,387,11.73,5
Zac,Stacy,STL,RB,172.74,2013,RB3,78.88,152.65,False,22,14,183.4,170.4,13.1,12.17,250,973,3.89,7,35.0,2.5,26,141,5.42,1
Joseph,Randle,DAL,RB,173.21,2013,RB2,36.73,173.21,False,22,13,42.5,38.5,3.27,2.96,54,164,3.04,2,10.0,0.77,8,61,7.63,0
Daniel,Thomas,MIA,RB,173.45,2013,RB2,52.37,173.45,False,26,15,97.9,90.4,6.53,6.03,109,406,3.72,4,17.0,1.13,15,63,4.2,2
Santana,Moss,WAS,WR,177.03,2013,WR2,60.56,177.03,False,34,16,97.7,76.7,6.11,4.79,3,25,8.33,0,79.0,4.94,42,452,10.76,2
Knile,Davis,KAN,RB,177.17,2013,RB2,7.92,177.17,False,22,16,70.7,65.2,4.42,4.08,70,242,3.46,4,15.0,0.94,11,75,6.82,0
Dwayne,Allen,IND,TE,177.66,2013,TE2,162.1,177.66,False,23,1,9.0,8.5,9.0,8.5,0,0,,0,2.0,2.0,1,20,20.0,1
Santonio,Holmes,NYJ,WR,178.83,2013,WR1,178.83,203.34,False,29,11,74.6,63.1,6.78,5.74,0,0,,0,59.0,5.36,23,456,19.83,1
Brent,Celek,PHI,TE,179.3,2013,TE1,179.3,190.63,False,28,16,116.2,100.2,7.26,6.26,0,0,,0,51.0,3.19,32,502,15.69,6
Robert,Turbin,SEA,RB,180.22,2013,RB3,7.64,157.24,False,24,16,38.4,34.4,2.4,2.15,77,264,3.43,0,12.0,0.75,8,60,7.5,0
Robert,Woods,BUF,WR,181.69,2013,WR2,89.06,181.69,False,21,14,120.3,100.3,8.59,7.16,2,16,8.0,0,85.0,6.07,40,587,14.68,3
Ed,Dickson,BAL,TE,182.05,2013,TE1,182.05,,False,26,16,58.3,45.8,3.64,2.86,0,0,,0,43.0,2.69,25,273,10.92,1
Kenny,Stills,NOR,WR,182.47,2013,WR3,45.05,105.62,True,21,16,127.1,111.1,7.94,6.94,3,10,3.33,0,50.0,3.12,32,641,20.03,5
Felix,Jones,PIT,RB,182.51,2013,RB3,83.64,152.33,False,26,16,31.7,27.2,1.98,1.7,48,184,3.83,0,13.0,0.81,9,63,7.0,0
Markus,Wheaton,PIT,WR,182.54,2013,WR3,64.37,128.59,False,22,12,12.4,9.4,1.03,0.78,0,0,,0,13.0,1.08,6,64,10.67,0
Julian,Edelman,NWE,WR,182.62,2013,WR4,49.89,118.1,False,27,16,251.7,199.2,15.73,12.45,2,11,5.5,0,151.0,9.44,105,1056,10.06,6
Toby,Gerhart,MIN,RB,183.26,2013,RB2,1.5,183.26,False,26,14,60.1,53.6,4.29,3.83,36,283,7.86,2,19.0,1.36,13,88,6.77,0
